"Geography","Id","Geography.x","total.housing.units","percent.housing.units.occupied","percent.housing.units.owner.occupied","percent.housing.units.renter.occupied","total.population","percent.latino","percent.institutionalized","percent.white","percent.black","percent.asian","Under.5.years","X5.to.9.years","X10.to.14.years","X15.to.19.years","X20.to.24.years","X25.to.29.years","X30.to.34.years","X35.to.39.years","X40.to.44.years","X45.to.49.years","X50.to.54.years","X55.to.59.years","X60.to.64.years","X65.to.69.years","X70.to.74.years","X75.to.79.years","X80.to.84.years","X85.years.and.over","property.crime.rate.2010","violent.crime.rate.2010","total.households","percent.households.family","percent.households.family.w.kids.under18","percent.households.married.dinks","percent.households.singletons","average.household.size","average.family.size","percent.households.single.moms","percent.irish","percent.bachelor.s.degree","graduate.or.professional.degree","percent.bachelor.s.degree.or.higher","female.fertility.rate","percent.English.only","percent.other.than.English","percent.never.married","percent.born.in.US","percent.born.in.US.not.MA","percent.residence.1.yr.ago.same.house","percent.college.or.grad.school","Percent.grades.1to8.","percent.kindergarten","percent.foreign.born","percent.preschool"
"Abington","1600000US2500135","Abington CDP, Massachusetts",6377,"95.3","70.0","30.0","15985","1.9","0.5","92.5","2.1","1.8","5.8","6.2","6.7","6.5","5.6","6.6","6.4","6.9","7.8","8.7","8.2","7.1","5.5","4.2","2.6","2.1","1.5","1.5",2164.5,287.8,5962,"69.2","33.9","55.6","25.8","2.63","3.22","6.6","46.6","20.4","7.2","27.5",173,"92.7","7.3","29.4","94.7","8.0","92.2","27.0","38.3","7.4","4.9","9.9"
"Acushnet","1600000US2500530","Acushnet Center CDP, Massachusetts",1318,"94.2","76.7","23.3","3073","1.1","0.0","96.3","0.5","0.4","4.6","4.9","6.4","6.9","5.7","5.1","6.1","7.0","7.0","8.3","7.4","6.6","5.2","5.0","4.0","2.7","3.8","3.3",1417.1,203.8,1159,"62.4","19.3","42.3","30.8","2.35","2.96","4.0","14.8","11.2","5.4","16.6",19,"84.3","15.7","32.1","91.5","4.8","94.6","15.1","53.7","3.4","7.8","9.5"
"Agawam","1600000US2500840","Agawam Town city, Massachusetts",12139,"96.1","74.2","25.8","28438","3.3","2.4","94.6","1.5","1.8","4.7","5.2","6.3","6.3","5.1","5.3","4.9","5.9","7.2","8.3","8.5","7.6","6.7","4.9","3.3","3.1","2.9","3.9",914.3,165.3,11506,"64.4","26.5","48.3","30.1","2.42","3.02","5.7","23.8","16.2","9.3","25.4",232,"91.4","8.6","30.3","93.3","18.6","91.5","25.1","41.8","4.2","6.0","5.3"
"Amesbury","1600000US2501260","Amesbury Town city, Massachusetts",7110,"93.4","68.3","31.7","16283","1.9","1.3","96.3","0.7","0.7","6.1","6.1","6.3","5.8","5.1","5.4","6.0","7.1","8.3","9.1","9.1","7.3","6.0","3.6","2.6","2.3","1.9","1.9",1633.6,270.2,6543,"66.9","30.5","52.8","27.3","2.44","2.97","5.6","27.2","25.4","16.0","41.4",211,"94.0","6.0","31.5","93.9","22.5","90.9","15.0","44.1","6.8","5.2","8.5"
"Amherst","1600000US2501360","Amherst Center CDP, Massachusetts",3281,"94.3","37.4","62.6","19065","6.6","0.6","78.9","5.5","9.5","1.2","1.4","1.6","35.9","38.5","3.1","1.8","1.5","1.7","1.7","1.9","1.8","1.9","1.4","1.1","1.1","0.9","1.4",1480.7,214.2,2715,"48.9","23.5","38.5","33.2","2.32","2.78","6.9","21.3","33.1","36.5","69.6",57,"87.9","12.1","83.4","84.5","37.8","66.9","94.3","2.8","0.1","13.0","0.5"
"Andover","1600000US2501430","Andover CDP, Massachusetts",3483,"94.7","63.0","37.0","8762","4.3","3.0","89.4","1.7","5.1","4.5","5.7","6.4","7.4","10.7","3.4","4.2","5.4","6.5","8.0","7.3","6.2","5.6","3.9","3.6","3.4","3.3","4.3",997,45.2,3640,"62.1","31.1","46.1","35.4","2.26","2.94","9.2","25.7","28.3","28.4","56.7",35,"85.5","14.5","31.4","86.8","27.0","85.4","34.0","35.3","5.1","11.5","7.2"
"Arlington","1600000US2501640","Arlington CDP, Massachusetts",19974,"95.0","61.3","38.7","42844","3.3","0.5","85.7","2.4","8.3","6.6","5.9","5.3","4.1","3.4","5.7","7.9","8.2","8.5","8.3","7.6","6.8","6.0","4.0","3.3","3.0","2.8","2.8",1486.8,233.4,19007,"57.0","27.0","45.1","35.1","2.23","2.94","5.2","28.2","29.0","34.6","63.7",459,"82.2","17.8","35.1","84.0","26.5","88.4","24.8","40.5","7.2","15.1","8.5"
"Athol","1600000US2502515","Athol CDP, Massachusetts",3811,"88.5","63.8","36.2","8265","3.9","0.0","94.8","1.0","0.9","6.1","6.4","7.1","7.1","6.7","6.3","6.4","6.6","6.9","7.5","8.3","6.2","5.2","3.5","2.8","2.3","2.0","2.4",2175.4,561.1,3150,"62.0","28.2","42.9","32.6","2.48","3.14","11.1","18.1","9.7","2.7","12.4",66,"96.7","3.3","33.8","95.7","13.5","85.4","17.0","51.9","3.3","2.6","4.5"
"Attleboro","1600000US2502690","Attleboro city, Massachusetts",18022,"93.7","66.4","33.6","43593","6.3","1.0","87.1","3.0","4.5","6.4","6.1","6.3","6.2","5.6","6.4","6.5","7.3","8.3","8.3","8.1","6.3","5.3","3.7","2.7","2.3","2.0","2.0",1922.3,357.9,16393,"69.3","31.8","51.1","22.6","2.62","3.10","6.6","25.5","21.6","7.8","29.4",670,"85.1","14.9","33.8","88.5","29.4","87.7","22.8","40.0","4.9","10.5","7.3"
"Barnstable","1600000US2503690","Barnstable Town city, Massachusetts",26343,"73.0","75.0","25.0","45193","3.1","0.2","89.3","3.0","1.2","4.6","4.8","5.3","5.9","4.7","5.2","4.5","4.9","6.3","8.2","8.8","8.3","7.4","5.9","4.6","4.1","3.3","3.1",2936.3,787.7,20119,"62.4","23.0","48.9","30.6","2.22","2.79","4.7","25.8","22.5","14.2","36.7",488,"88.8","11.2","31.5","89.3","24.6","89.7","24.1","40.9","6.0","9.7","5.0"
