City/Town,,,Patrick/ Murray,Baker/ Tisei,Cahill/ Loscocco,Stein/ Purcell,All Others,Blank Votes,Total Votes Cast
Abington,,,2121,3203,887,67,8,49,6335
Acton,,,5326,3478,333,113,6,42,9298
Acushnet,,,2067,1489,402,33,1,80,4072
Adams,,,1629,548,132,22,1,20,2352
Agawam,,,4019,4975,1502,201,5,134,10836
Alford,,,179,38,5,3,0,1,226
Amesbury,,,2633,2949,488,120,3,41,6234
Amherst,,,6284,879,240,493,5,58,7959
Andover,,,5893,7540,622,122,7,79,14263
Aquinnah,,,143,50,15,9,0,3,220
Arlington,,,13205,5684,1016,357,20,149,20431
Ashburnham,,,915,1298,233,55,2,20,2523
Ashby,,,498,748,138,29,0,11,1424
Ashfield,,,615,156,46,55,0,8,880
Ashland,,,2946,3080,422,57,5,44,6554
Athol,,,1353,1585,393,68,4,27,3430
Attleboro,,,4946,6780,1266,167,12,97,13268
Auburn,,,2749,3238,591,90,4,57,6729
Avon,,,676,877,248,31,0,20,1852
Ayer,,,1031,1255,226,44,2,19,2577
Barnstable,,,7983,10382,1459,282,1,132,20239
Barre,,,771,983,225,47,1,21,2048
Becket,,,376,177,41,7,3,6,610
Bedford,,,2909,2597,307,66,5,31,5915
Belchertown,,,2559,2143,541,147,0,29,5419
Bellingham,,,2191,3355,755,87,8,53,6449
Belmont,,,6546,3960,439,162,5,72,11184
Berkley,,,802,1321,246,38,2,48,2457
Berlin,,,564,726,98,24,0,14,1426
Bernardston,,,485,245,117,24,0,7,878
Beverly,,,7100,7132,1202,202,16,117,15769
Billerica,,,4977,8128,1642,188,15,124,15074
Blackstone,,,1121,1665,426,49,5,35,3301
Blandford,,,175,262,70,10,0,7,524
Bolton,,,968,1221,126,30,1,19,2365
Boston,,,114519,37493,8687,2053,151,1409,164312
Bourne,,,3025,4242,717,94,5,55,8138
Boxborough,,,1113,1032,107,41,0,14,2307
Boxford,,,1348,2642,188,40,0,35,4253
Boylston,,,875,1129,138,23,1,15,2181
Braintree,,,5519,6886,2615,165,24,133,15342
Brewster,,,2531,2325,329,78,0,93,5356
Bridgewater,,,3196,4925,859,115,5,68,9168
Brimfield,,,460,901,177,53,0,13,1604
Brockton,,,12380,7656,2040,241,9,187,22513
Brookfield,,,444,686,150,21,0,4,1305
Brookline,,,14909,4765,504,267,1,110,20556
Buckland,,,505,174,68,43,0,13,803
Burlington,,,3777,4815,716,98,9,60,9475
Cambridge,,,26918,4284,1003,653,1076,306,34240
Canton,,,3902,4706,785,73,4,79,9549
Carlisle,,,1428,1139,73,39,0,17,2696
Carver,,,1487,2441,504,58,3,103,4596
Charlemont,,,283,116,59,12,0,6,476
Charlton,,,1445,2837,402,76,3,22,4785
Chatham,,,1663,1966,207,38,2,21,3897
Chelmsford,,,5717,8040,1151,177,10,114,15209
Chelsea,,,3223,1301,332,65,0,218,5139
Cheshire,,,711,311,77,17,0,16,1132
Chester,,,168,226,85,18,0,2,499
Chesterfield,,,246,201,52,33,0,3,535
Chicopee,,,6853,6273,2643,364,17,211,16361
Chilmark,,,361,168,30,15,0,6,580
Clarksburg,,,340,146,45,6,0,12,549
Clinton,,,2058,2162,419,62,10,60,4771
Cohasset,,,1480,2060,222,35,0,26,3823
Colrain,,,377,158,68,33,0,10,646
Concord,,,5280,3110,222,109,1,43,8765
Conway,,,649,220,59,50,0,8,986
Cummington,,,255,82,43,32,0,8,420
Dalton,,,1554,614,126,25,1,23,2343
Danvers,,,4027,5599,936,104,3,68,10737
Dartmouth,,,6563,4340,872,123,8,213,12119
Dedham,,,4513,4674,1032,113,13,71,10416
Deerfield,,,1385,529,212,82,0,13,2221
Dennis,,,3347,3647,566,94,0,58,7712
Dighton,,,966,1427,304,29,3,41,2770
Douglas,,,913,2003,320,47,0,22,3305
Dover,,,1014,1780,76,21,1,14,2906
Dracut,,,3428,6306,1186,138,0,118,11176
Dudley,,,1263,2052,349,54,1,26,3745
Dunstable,,,512,792,100,13,1,14,1432
Duxbury,,,2790,4338,441,53,4,42,7668
E. Bridgewater,,,1637,2986,661,74,1,33,5392
E. Brookfield,,,268,534,90,14,1,8,915
E. Longmeadow,,,2332,3190,616,78,4,42,6262
Eastham,,,1615,1270,184,40,1,16,3126
Easthampton,,,3422,1894,666,264,4,38,6288
Easton,,,3332,4882,709,74,9,70,9076
Edgartown,,,966,807,145,31,0,17,1966
Egremont,,,456,123,11,13,0,4,607
Erving,,,289,131,67,13,0,8,508
Essex,,,721,899,109,20,0,11,1760
Everett,,,4579,3257,997,102,14,155,9104
Fairhaven,,,3492,2189,521,75,5,86,6368
Fall River,,,12028,5762,1731,281,8,848,20658
Falmouth,,,7739,6812,1042,234,7,120,15954
Fitchburg,,,4378,4532,962,143,10,82,10107
Florida,,,122,95,22,5,0,9,253
Foxborough,,,2562,3998,614,67,2,35,7278
Framingham,,,10579,7911,1268,252,15,124,20149
Franklin,,,4617,6884,1099,144,12,73,12829
Freetown,,,1450,1716,292,39,4,67,3568
Gardner,,,2661,2743,655,120,5,38,6222
Georgetown,,,1274,2068,287,38,3,20,3690
Gill,,,386,149,57,38,1,8,639
Gloucester,,,5588,4749,844,137,15,133,11466
Goshen,,,223,163,52,25,0,5,468
Gosnold,,,28,34,6,0,0,0,68
Grafton,,,2522,3576,467,91,3,30,6689
Granby,,,1213,1321,407,77,2,34,3054
Granville,,,219,377,73,20,0,6,695
Great Barrington,,,1951,406,85,74,1,27,2544
Greenfield,,,3851,1304,463,341,3,70,6032
Groton,,,2051,2402,279,66,2,76,4876
Groveland,,,1025,1719,239,38,0,26,3047
Hadley,,,1346,627,176,92,0,23,2264
Halifax,,,985,1731,374,49,5,21,3165
Hamilton,,,1401,1949,177,39,3,34,3603
Hampden,,,751,1167,278,44,0,23,2263
Hancock,,,176,88,18,0,0,3,285
Hanover,,,2060,3685,769,40,2,54,6610
Hanson,,,1404,2360,532,46,1,46,4389
Hardwick,,,410,454,107,33,0,10,1014
Harvard,,,1521,1144,122,44,0,47,2878
Harwich,,,2936,2992,480,96,5,45,6554
Hatfield,,,828,476,167,51,1,11,1534
Haverhill,,,7829,9635,1854,290,0,172,19780
Hawley,,,62,46,16,11,0,0,135
Heath,,,188,87,35,10,0,1,321
Hingham,,,4658,5741,786,75,0,60,11320
Hinsdale,,,440,202,48,19,0,5,714
Holbrook,,,1500,1934,575,40,3,24,4076
Holden,,,3513,4398,547,93,5,78,8634
Holland,,,295,527,97,29,2,10,960
Holliston,,,2849,3314,382,62,3,32,6642
Holyoke,,,6139,2923,1031,261,2,110,10466
Hopedale,,,968,1347,205,27,1,24,2572
Hopkinton,,,2467,3569,331,65,3,23,6458
Hubbardston,,,670,1166,164,31,5,21,2057
Hudson,,,3165,3669,644,96,2,83,7659
Hull,,,2245,1831,496,79,0,49,4700
Huntington,,,329,359,108,37,1,3,837
Ipswich,,,2732,3135,406,70,0,40,6383
Kingston,,,1899,2895,597,40,2,41,5474
Lakeville,,,1410,2715,416,50,1,48,4640
Lancaster,,,1071,1574,210,47,1,29,2932
Lanesborough,,,704,267,54,9,5,13,1052
Lawrence,,,9094,3139,692,101,14,205,13245
Lee,,,1314,459,140,41,3,26,1983
Leicester,,,1594,2158,408,49,1,32,4242
Lenox,,,1698,419,84,37,2,27,2267
Leominster,,,5179,6782,1155,139,14,116,13385
Leverett,,,737,153,31,73,0,4,998
Lexington,,,9330,4529,383,183,5,73,14503
Leyden,,,217,76,37,22,0,1,353
Lincoln,,,1864,878,59,42,4,18,2865
