Municipality,Baker,Coakley,Falchuk,Lively,McCormick,YesQ1,NoQ1,NoQ2,YesQ2,NoQ3,YesQ3,YesQ4,NoQ4,Markey,Herr,Healey,Miller,Goldberg,Heffernan,Jackson
Abington,3458,2104,202,49,45,2944,1577,3921,630,3270,1271,2500,2010,2991,2668,3110,2522,2609,2752,205
Acton,3776,4533,242,39,59,4060,4401,5048,3580,3993,4593,5503,3046,5700,2774,5635,2751,4811,3051,335
Acushnet,1494,1375,71,89,46,1477,1374,2497,563,2181,887,1791,1259,1814,1179,1687,1256,1554,1222,112
Adams,600,1506,48,27,33,986,1139,1102,1084,1450,705,1473,682,1664,493,1635,519,1507,526,96
Agawam,5778,3148,837,206,123,5480,4457,8682,1511,6163,4046,5463,4620,4933,4722,4800,4809,4292,4717,378
Alford,55,148,1,1,1,69,124,62,141,65,137,116,58,155,46,156,48,139,43,13
Amesbury,3015,2530,226,42,52,3253,2476,4712,1147,3766,2047,3248,2539,3328,2407,3367,2328,2817,2490,247
Amherst,1266,6054,302,63,41,2203,5245,2387,5367,2765,4927,6299,1318,6771,847,6614,953,5764,925,696
Andover,7856,4863,270,61,57,7512,5316,10000,3047,6339,6678,6316,6614,6605,6172,6601,6092,5711,6406,356
Aquinnah,40,147,6,3,3,90,93,106,90,68,127,120,52,171,22,166,25,143,25,18
Arlington,6233,12405,619,103,102,7433,11434,10729,8588,8547,10586,13577,5542,14845,4206,14289,4606,12025,4654,1747
Ashburnham,1202,831,87,31,21,1192,960,1793,381,1506,652,1125,1026,1092,1033,1068,1039,930,1043,100
Ashby,754,442,68,19,10,733,550,1039,253,862,418,654,527,601,653,611,645,523,632,83
Ashfield,200,587,47,2,6,318,520,367,479,321,526,568,246,679,156,686,146,579,159,69
Ashland,2954,2518,152,30,21,3322,2256,4482,1162,3667,1947,3298,2272,3146,2419,3250,2228,2717,2475,174
Athol,1882,1164,161,70,29,2064,1203,2647,681,2454,849,1770,1511,1657,1559,1608,1599,1426,1583,151
Attleboro,6630,4940,289,153,123,6816,4963,9853,2155,8800,3157,7164,4746,6382,5370,6370,5330,5603,5393,507
Auburn,3738,2248,174,56,55,3725,2429,5486,779,4511,1725,3086,3120,3121,2645,3183,2856,2476,2980,198
Avon,909,712,39,1,19,880,713,1403,261,1243,414,932,715,987,687,938,687,831,724,38
Ayer,1333,970,106,32,23,1125,1311,1990,472,1643,805,1406,1035,1325,1073,1305,1065,1130,1096,116
Barnstable,10641,7201,476,125,145,10800,7134,13613,4834,10298,7962,9293,8943,9127,9111,9201,8978,7898,9434,589
Barre,1153,657,76,17,16,1142,745,1538,400,1349,566,964,943,887,972,915,936,805,940,71
Becket,191,353,17,15,9,261,293,284,298,291,291,380,199,392,182,386,188,334,184,44
Bedford,2764,2633,150,35,35,2866,2648,3902,1674,2658,2863,3222,2271,3369,2116,3279,2139,2782,2288,226
Belchertown,2440,2207,419,87,43,2602,2515,3653,1567,3176,2021,3109,2061,2953,2094,2888,2122,2625,2025,262
Bellingham,3268,2038,190,42,53,3180,2326,4963,609,4225,1317,3121,2413,2706,2695,2800,2543,2357,2695,201
Belmont,4296,5598,224,37,49,4210,5704,5618,4529,4400,5688,6490,3516,7055,2860,6858,3005,5785,3259,497
Berkley,1260,719,66,32,21,1152,911,1705,393,1350,739,1102,969,990,1051,984,1033,839,1074,78
Berlin,758,548,51,20,15,806,578,1030,356,813,573,695,628,725,631,746,595,599,656,74
Bernardston,312,388,76,13,3,372,389,534,254,485,298,447,322,518,256,506,270,468,243,46
Beverly,7519,6375,430,132,88,7888,6446,10887,3638,8687,5746,8010,6369,8673,5378,8565,5440,7293,5840,525
Billerica,8245,5117,462,132,130,8397,5523,12673,1455,9869,4178,7333,6650,7185,6510,6892,6078,6019,6848,548
Blackstone,1637,1011,108,35,36,1501,1250,2496,307,2105,684,1445,1351,1419,1377,1450,1320,1276,1358,107
Blandford,293,152,51,10,4,299,205,391,118,309,202,234,219,224,272,223,264,191,262,36
Bolton,1278,877,82,22,15,1277,957,1584,697,1104,1153,1187,1064,1168,1059,1131,1068,936,1115,91
Boston,47584,104759,4415,679,854,60205,79914,89114,59607,82159,66396,115038,39797,118866,28089,121746,27378,106643,30589,6447
Bourne,4436,2636,192,73,68,4259,2999,5806,1543,4424,2898,3607,3686,3415,3809,3451,3744,2916,3906,239
