Municipality,Baker,Coakley,Falchuk,Lively,McCormick,YesQ1,NoQ1,NoQ2,YesQ2,NoQ3,YesQ3,YesQ4,NoQ4,Markey,Herr,Healey,Miller,Goldberg,Heffernan,Jackson
Abington,0.59,0.36,0.03,0.01,0.01,0.65,0.35,0.86,0.14,0.72,0.28,0.55,0.45,0.53,0.47,0.55,0.45,0.47,0.49,0.04
Acton,0.44,0.52,0.03,0.01,0.01,0.48,0.52,0.59,0.42,0.47,0.54,0.64,0.36,0.67,0.33,0.67,0.33,0.59,0.37,0.04
Acushnet,0.49,0.45,0.02,0.03,0.02,0.52,0.48,0.82,0.18,0.71,0.29,0.59,0.41,0.61,0.39,0.57,0.43,0.54,0.42,0.04
Adams,0.27,0.68,0.02,0.01,0.02,0.46,0.54,0.5,0.5,0.67,0.33,0.68,0.32,0.77,0.23,0.76,0.24,0.71,0.25,0.05
Agawam,0.57,0.31,0.08,0.02,0.01,0.55,0.45,0.85,0.15,0.6,0.4,0.54,0.46,0.51,0.49,0.5,0.5,0.46,0.5,0.04
Alford,0.27,0.72,0.01,0.01,0.01,0.36,0.64,0.31,0.7,0.32,0.68,0.67,0.33,0.77,0.23,0.77,0.24,0.71,0.22,0.07
Amesbury,0.51,0.43,0.04,0.01,0.01,0.57,0.43,0.8,0.2,0.65,0.35,0.56,0.44,0.58,0.42,0.59,0.41,0.51,0.45,0.04
Amherst,0.16,0.78,0.04,0.01,0.01,0.3,0.7,0.31,0.69,0.36,0.64,0.83,0.17,0.89,0.11,0.87,0.13,0.78,0.13,0.09
Andover,0.6,0.37,0.02,0.01,0,0.59,0.41,0.77,0.23,0.49,0.51,0.49,0.51,0.52,0.48,0.52,0.48,0.46,0.51,0.03
Aquinnah,0.2,0.74,0.03,0.02,0.02,0.49,0.51,0.54,0.46,0.35,0.65,0.7,0.3,0.89,0.11,0.87,0.13,0.77,0.13,0.1
Arlington,0.32,0.64,0.03,0.01,0.01,0.39,0.61,0.56,0.45,0.45,0.55,0.71,0.29,0.78,0.22,0.76,0.24,0.65,0.25,0.1
Ashburnham,0.55,0.38,0.04,0.01,0.01,0.55,0.45,0.83,0.18,0.7,0.3,0.52,0.48,0.51,0.49,0.51,0.49,0.45,0.5,0.05
Ashby,0.58,0.34,0.05,0.02,0.01,0.57,0.43,0.8,0.2,0.67,0.33,0.55,0.45,0.48,0.52,0.49,0.51,0.42,0.51,0.07
Ashfield,0.24,0.7,0.06,0,0.01,0.38,0.62,0.43,0.57,0.38,0.62,0.7,0.3,0.81,0.19,0.83,0.18,0.72,0.2,0.09
Ashland,0.52,0.44,0.03,0.01,0,0.6,0.4,0.79,0.21,0.65,0.35,0.59,0.41,0.57,0.44,0.59,0.41,0.51,0.46,0.03
Athol,0.57,0.35,0.05,0.02,0.01,0.63,0.37,0.8,0.21,0.74,0.26,0.54,0.46,0.52,0.49,0.5,0.5,0.45,0.5,0.05
Attleboro,0.55,0.41,0.02,0.01,0.01,0.58,0.42,0.82,0.18,0.74,0.26,0.6,0.4,0.54,0.46,0.54,0.46,0.49,0.47,0.04
Auburn,0.6,0.36,0.03,0.01,0.01,0.61,0.4,0.88,0.12,0.72,0.28,0.5,0.5,0.54,0.46,0.53,0.47,0.44,0.53,0.04
Avon,0.54,0.42,0.02,0,0.01,0.55,0.45,0.84,0.16,0.75,0.25,0.57,0.43,0.59,0.41,0.58,0.42,0.52,0.45,0.02
Ayer,0.54,0.39,0.04,0.01,0.01,0.46,0.54,0.81,0.19,0.67,0.33,0.58,0.42,0.55,0.45,0.55,0.45,0.48,0.47,0.05
Barnstable,0.57,0.39,0.03,0.01,0.01,0.6,0.4,0.74,0.26,0.56,0.44,0.51,0.49,0.5,0.5,0.51,0.49,0.44,0.53,0.03
Barre,0.6,0.34,0.04,0.01,0.01,0.61,0.4,0.79,0.21,0.7,0.3,0.51,0.49,0.48,0.52,0.49,0.51,0.44,0.52,0.04
Becket,0.33,0.6,0.03,0.03,0.02,0.47,0.53,0.49,0.51,0.5,0.5,0.66,0.34,0.68,0.32,0.67,0.33,0.59,0.33,0.08
Bedford,0.49,0.47,0.03,0.01,0.01,0.52,0.48,0.7,0.3,0.48,0.52,0.59,0.41,0.61,0.39,0.61,0.4,0.53,0.43,0.04
Belchertown,0.47,0.43,0.08,0.02,0.01,0.51,0.49,0.7,0.3,0.61,0.39,0.6,0.4,0.59,0.42,0.58,0.42,0.53,0.41,0.05
Bellingham,0.59,0.37,0.03,0.01,0.01,0.58,0.42,0.89,0.11,0.76,0.24,0.56,0.44,0.5,0.5,0.52,0.48,0.45,0.51,0.04
Belmont,0.42,0.55,0.02,0,0.01,0.43,0.58,0.55,0.45,0.44,0.56,0.65,0.35,0.71,0.29,0.7,0.31,0.61,0.34,0.05
Berkley,0.6,0.34,0.03,0.02,0.01,0.56,0.44,0.81,0.19,0.65,0.35,0.53,0.47,0.49,0.52,0.49,0.51,0.42,0.54,0.04
Berlin,0.55,0.39,0.04,0.01,0.01,0.58,0.42,0.74,0.26,0.59,0.41,0.53,0.48,0.54,0.47,0.56,0.44,0.45,0.49,0.06
Bernardston,0.39,0.49,0.1,0.02,0,0.49,0.51,0.68,0.32,0.62,0.38,0.58,0.42,0.67,0.33,0.65,0.35,0.62,0.32,0.06
Beverly,0.52,0.44,0.03,0.01,0.01,0.55,0.45,0.75,0.25,0.6,0.4,0.56,0.44,0.62,0.38,0.61,0.39,0.53,0.43,0.04
Billerica,0.59,0.36,0.03,0.01,0.01,0.6,0.4,0.9,0.1,0.7,0.3,0.52,0.48,0.53,0.48,0.53,0.47,0.45,0.51,0.04
Blackstone,0.58,0.36,0.04,0.01,0.01,0.55,0.45,0.89,0.11,0.76,0.25,0.52,0.48,0.51,0.49,0.52,0.48,0.47,0.5,0.04
Blandford,0.58,0.3,0.1,0.02,0.01,0.59,0.41,0.77,0.23,0.61,0.4,0.52,0.48,0.45,0.55,0.46,0.54,0.39,0.54,0.07
Bolton,0.56,0.39,0.04,0.01,0.01,0.57,0.43,0.69,0.31,0.49,0.51,0.53,0.47,0.52,0.48,0.51,0.49,0.44,0.52,0.04
Boston,0.3,0.66,0.03,0,0.01,0.43,0.57,0.6,0.4,0.55,0.45,0.74,0.26,0.81,0.19,0.82,0.18,0.74,0.21,0.05
Bourne,0.6,0.36,0.03,0.01,0.01,0.59,0.41,0.79,0.21,0.6,0.4,0.5,0.51,0.47,0.53,0.48,0.52,0.41,0.55,0.03
Boxborough,0.51,0.46,0.03,0.01,0,0.53,0.47,0.66,0.34,0.46,0.54,0.57,0.43,0.61,0.39,0.61,0.39,0.52,0.43,0.05
Boxford,0.69,0.28,0.02,0,0.01,0.6,0.4,0.8,0.2,0.53,0.47,0.42,0.58,0.42,0.58,0.42,0.58,0.35,0.63,0.03
Boylston,0.62,0.35,0.02,0.01,0,0.65,0.35,0.82,0.18,0.63,0.37,0.48,0.52,0.48,0.52,0.49,0.51,0.43,0.54,0.03
Braintree,0.58,0.38,0.03,0.01,0.01,0.6,0.4,0.84,0.16,0.67,0.33,0.56,0.45,0.57,0.44,0.58,0.42,0.51,0.47,0.03
Brewster,0.51,0.45,0.03,0.01,0.01,0.54,0.46,0.69,0.31,0.48,0.53,0.55,0.45,0.56,0.44,0.57,0.43,0.51,0.46,0.04
Bridgewater,0.61,0.34,0.03,0.01,0.01,0.59,0.41,0.81,0.19,0.71,0.29,0.54,0.46,0.51,0.49,0.51,0.49,0.44,0.53,0.03
Brimfield,0.62,0.29,0.06,0.01,0.01,0.58,0.42,0.81,0.19,0.57,0.43,0.48,0.52,0.42,0.58,0.41,0.59,0.38,0.58,0.05
Brockton,0.35,0.6,0.03,0.01,0.01,0.53,0.47,0.79,0.21,0.73,0.27,0.69,0.31,0.74,0.26,0.73,0.27,0.69,0.28,0.03
Brookfield,0.59,0.34,0.05,0.01,0.01,0.65,0.35,0.79,0.21,0.67,0.33,0.51,0.49,0.47,0.53,0.47,0.53,0.41,0.54,0.06
Brookline,0.3,0.67,0.03,0,0,0.33,0.67,0.45,0.55,0.4,0.6,0.75,0.25,0.81,0.19,0.81,0.19,0.77,0.19,0.04
Buckland,0.33,0.6,0.05,0.02,0.01,0.38,0.62,0.53,0.48,0.48,0.52,0.67,0.33,0.76,0.24,0.73,0.27,0.64,0.27,0.08
Burlington,0.56,0.4,0.03,0.01,0.01,0.61,0.4,0.85,0.15,0.63,0.37,0.52,0.48,0.56,0.44,0.52,0.49,0.48,0.48,0.04
Cambridge,0.18,0.81,0.01,0,0,0.27,0.73,0.38,0.62,0.39,0.61,0.82,0.18,0.9,0.1,0.89,0.11,0.81,0.12,0.07
Canton,0.58,0.38,0.03,0.01,0.01,0.57,0.43,0.82,0.18,0.65,0.35,0.53,0.47,0.56,0.44,0.57,0.43,0.5,0.48,0.03
Carlisle,0.49,0.48,0.03,0.01,0.01,0.46,0.54,0.56,0.44,0.39,0.61,0.55,0.45,0.61,0.39,0.6,0.4,0.53,0.42,0.05
Carver,0.61,0.33,0.04,0.01,0.01,0.61,0.39,0.84,0.16,0.67,0.33,0.53,0.47,0.48,0.52,0.48,0.53,0.42,0.55,0.03
Charlemont,0.36,0.51,0.1,0.03,0.01,0.41,0.59,0.6,0.4,0.61,0.39,0.67,0.33,0.67,0.33,0.67,0.33,0.59,0.33,0.08
Charlton,0.67,0.28,0.03,0.01,0.01,0.64,0.36,0.83,0.17,0.7,0.3,0.46,0.54,0.41,0.59,0.23,0.77,0.35,0.61,0.04
Chatham,0.58,0.4,0.02,0.01,0,0.55,0.45,0.7,0.3,0.45,0.56,0.49,0.51,0.5,0.5,0.5,0.5,0.44,0.53,0.03
